airport_1,airport_2,a,b,year_coeff,quarter_1_coef,quarter_2_coef,quarter_3_coef,quarter_4_coef,Route_Cost,nsmiles
AUS,LGB,5103.193209,0.025460835,-0.001637298,-0.016208703,0.00562106,-0.012036018,0.02262366,217.43694,1242
AUS,ONT,1.12e-10,0.22746275,0.014537929,-0.016530938,0.015458764,-0.010694862,0.011767035,217.43694,1242
AUS,SNA,2.45e-05,0.003323411,0.007951059,0.019712262,0.010323289,-0.028954703,-0.001080847,217.43694,1242
AUS,TPA,1.6e-07,-0.069151719,0.010213872,0.036294279,0.001726541,-0.0395459,0.00152508,162.46496,928
PHX,SEA,9.230046643,-0.092075109,0.001104809,-0.004241484,0.002923948,-0.02698058,0.028298116,193.80249,1107
PHX,BWI,1.04e-15,0.094734196,0.020152642,-0.00234541,0.002899396,-0.011577284,0.011023298,349.96493,1999
PHX,DCA,0.107402884,-0.121585014,0.003577658,0.025796788,-0.000951303,-0.014888073,-0.009957413,349.96493,1999
PHX,IAD,137.6304968,0.055392965,0.000555846,0.025816558,0.00346238,-0.031207869,0.001928932,349.96493,1999
PHX,STL,3.37e-16,-0.288028595,0.019411312,-0.035821343,0.00125958,0.049134895,-0.014573131,220.93834,1262
PHX,OAK,1.44e-22,-0.265012283,0.026551591,-0.023192884,0.00360918,0.029446636,-0.009862932,116.94676,668
PHX,SFO,5.75e-17,0.003331282,0.021083484,-0.007717052,7.87e-05,-0.012717386,0.020355769,116.94676,668
PHX,SJC,8.829999999999999e-23,-0.170567252,0.027161154,-0.009000755,0.01498832,0.004967745,-0.010955309,116.94676,668
PHX,SMF,1.62e-20,-0.209855851,0.024454044,-0.025914729,0.009592497,0.03503034,-0.018708107,113.27029,647
PHX,TPA,6.12e-18,0.106323733,0.022724737,0.048682088,-0.009844265,-0.046662235,0.007824412,313.02516,1788
PHX,SAT,3.21e-05,-0.164779169,0.007278007,0.003993199,-0.012135648,0.037207241,-0.029064792,147.58401,843
PHX,SAN,2.01e-25,-0.096307001,0.030327869,-0.020976088,-0.006666851,0.02386035,0.00378259,56.72268,324
PHX,RDU,1.74e-20,-0.209898753,0.024709014,0.005808713,-0.002077027,0.00251099,-0.006242676,331.05737,1891
PHX,RNO,5.25e-16,-0.216859687,0.019364232,-0.005335389,-0.015398394,0.035974343,-0.01524056,105.21707,601
PHX,SLC,2.8e-06,-0.071148348,0.008627982,0.009575957,0.004766395,-0.00260908,-0.011733272,88.76049,507
PHX,TUL,4.15e-09,-0.135875064,0.01188921,0.017244649,0.005147569,-0.032706342,0.010314124,163.69045,935
BOS,DAL,1756.846007,0.085990074,-0.000909976,-0.013442227,0.045013319,-0.04250534,0.010934247,273.45934,1562
BOS,DFW,4.02e+18,-0.125916881,-0.018975945,0.094530775,-0.00981589,-0.052556123,-0.032158762,273.45934,1562
BOS,PIT,12640700000000.0,0.161780893,-0.011912095,-0.031097057,0.043519475,-0.010141977,-0.002280441,86.83472,496
BOS,DEN,348768.3399,-0.040499581,-0.00375132,0.002742557,0.004784616,0.001113652,-0.008640825,307.07278,1754
BOS,PHX,8.5e-06,-0.034870738,0.00844025,0.019973656,-0.001880442,-0.022327473,0.004234259,402.661,2300
BOS,SEA,29866733.69,-0.037922267,-0.005895122,-0.008855502,0.007792316,0.015974447,-0.014911262,436.97472,2496
BOS,CAK,34518548913.0,0.179643038,-0.009191881,-0.033300794,0.0282593,0.00585766,-0.000816167,98.56441,563
BOS,CLE,4190350000000.0,0.17510788,-0.011284277,-0.021126384,0.048732833,-0.011340525,-0.016265923,98.56441,563
BOS,BNA,66.05003431,0.059810286,0.000718215,-0.00323763,0.037812286,-0.014356643,-0.020218013,164.91594,942
BOS,BUF,2594.09291,0.465559045,-3.28e-05,-0.136085261,0.068823291,0.077458266,-0.010196296,69.15265000000001,395
BOS,BZN,3.7800000000000004e-86,-0.283241113,0.099424712,-0.042860898,0.0,0.042860898,0.0,348.56437,1991
BOS,BWI,344.7761596,0.111313801,-0.000109421,-0.026274538,0.03855806,-0.008495727,-0.003787795,73.17926,418
BOS,DCA,6562039949.0,-0.001642142,-0.008691661,-0.013210188,0.036459577,-0.008926069,-0.01432332,73.17926,418
BOS,IAD,0.001648531,0.153172272,0.006168937,-0.048281229,0.044042763,-0.0034615,0.007699967,73.17926,418
BOS,MDW,102.3857837,-0.007647673,0.000141479,-0.049975307,0.034352909,0.006327287,0.009295111,151.78569000000002,867
BOS,ORD,1.73e+16,-0.13261222,-0.016498718,0.05201647,0.021153093,-0.045026471,-0.028143092,151.78569000000002,867
BOS,CHS,3.62e-05,0.033771247,0.007793279,-0.04516372,0.070256053,-0.037192471,0.012100138,146.35852,836
BOS,CLT,130538520.5,0.186976108,-0.006067167,-0.011649512,0.034330454,-0.015721973,-0.006958969,129.02659,737
BOS,CMH,1.95e-10,0.070007765,0.013960875,0.021658449,0.024168507,-0.018981932,-0.026845023,112.0448,640
BOS,STL,190928158.8,-0.054396291,-0.006885797,0.042644853,0.008594085,-0.023264379,-0.027974559,183.29829,1047
BOS,MYR,9.76e-06,0.005623157,0.008159496,-0.013139822,0.049853162,-0.022215115,-0.014498225,132.35292,756
BOS,JAX,0.000344059,-0.044110447,0.006386484,0.011829223,0.048798849,-0.050760941,-0.009867131,179.97196,1028
BOS,DTW,14468059403.0,0.179980144,-0.008363155,0.001384737,0.027119654,-0.017276752,-0.011227638,110.64424,632
BOS,HOU,655591.9148,0.087134989,-0.003805762,-0.00623047,0.045683586,-0.007874992,-0.031578124,281.68763,1609
BOS,IAH,1282220000000.0,-0.018065509,-0.011122435,0.050628247,0.024434192,-0.026636154,-0.048426284,281.68763,1609
BOS,MCO,5.84e-13,-0.097063571,0.016152668,0.028229588,0.0418401,-0.075455187,0.005385499,199.92994,1142
BOS,MSP,781061000000.0,-0.038733563,-0.011009851,0.111783278,0.00160659,-0.086780039,-0.026609829,196.77868,1124
BOS,EWR,24806.54629,0.061817469,-0.002213647,-0.00886366,0.036894902,-0.014476468,-0.013554774,35.014,200
BOS,ISP,1.12e-16,0.028500463,0.020961002,-0.032430338,0.074438141,-0.04442056,0.002412757,35.014,200
BOS,JFK,4.89e-16,0.132450096,0.020390885,-0.048744233,0.036418444,0.025938501,-0.013612712,35.014,200
BOS,LGA,2.57e-17,-0.04343649,0.021378714,-0.028009222,0.014783224,0.017429847,-0.00420385,35.014,200
BOS,RSW,2.59e-18,0.033027808,0.022830409,0.064630023,0.055534465,-0.130917268,0.010752779,222.51397,1271
BOS,LAS,1.35e-14,-0.052020169,0.01840077,0.022316257,0.015455865,-0.039694207,0.001922085,416.84167,2381
BOS,OAK,1969120000000.0,0.164930537,-0.010915848,-0.082050765,0.032344726,0.057431641,-0.007725602,473.38928,2704
BOS,SFO,4130292.91,-0.040798459,-0.004829582,0.017131486,-0.000405413,-0.016371958,-0.000354115,473.38928,2704
BOS,SJC,54939400000000.0,-0.065673876,-0.013104312,0.012452371,0.006907464,-0.010531156,-0.008828679,473.38928,2704
BOS,FLL,5e-10,-0.019010167,0.013106555,0.05844927,0.013106967,-0.090995875,0.019439637,224.61481,1283
BOS,MIA,0.000269188,-0.062433575,0.006495739,0.05015894,-0.005837476,-0.044788633,0.00046717,224.61481,1283
BOS,BUR,13257027.16,0.150520891,-0.005100615,-0.038492717,0.014641647,0.022853656,0.000997414,457.10777,2611
BOS,LAX,694.3749182,0.009410225,-0.000386334,-0.005567922,0.004781765,-0.001045281,0.001831438,457.10777,2611
BOS,LGB,11067.38591,0.057726207,-0.001774317,-0.055785112,-0.001156994,0.031750229,0.025191877,457.10777,2611
BOS,ONT,0.008948583,0.017190505,0.005193165,0.001934364,0.016163843,-0.006945286,-0.01115292,457.10777,2611
BOS,SNA,3254.432591,-0.058706236,-0.001281754,0.00211704,0.02810285,-0.022747972,-0.007471918,457.10777,2611
BOS,SDF,5.29e-08,0.056467486,0.011179375,0.00856021,0.043573916,-0.031463769,-0.020670357,145.13303,829
BOS,CVG,3681.062482,-0.111115612,-0.001597505,0.081369155,-0.000687929,-0.038215078,-0.042466147,131.65264,752
BOS,SMF,58211.00262,-0.036042594,-0.002732879,0.01239615,0.0173956,-0.031674281,0.001882531,461.48452,2636
BOS,TPA,2.13e-12,-0.01084925,0.01586167,0.019046471,0.041374442,-0.061588725,0.001167812,210.78428,1204
BOS,MCI,12.19423225,-0.005660339,0.001401769,0.054484289,0.011405839,-0.044959355,-0.020930772,219.88792,1256
BOS,SAT,259408.0865,0.019127255,-0.003382764,0.021816751,0.019286196,-0.028526079,-0.012576868,308.82348,1764
BOS,MKE,0.880678702,0.434833337,0.00394337,-0.157516748,0.073786538,0.077855342,0.005874869,150.5602,860
BOS,MSY,0.000303453,-0.046692006,0.006507926,0.026318479,0.045416783,-0.076457795,0.004722533,240.02097,1371
BOS,SAN,66977.24215,-0.075247478,-0.002965035,0.009989537,-0.004761874,-0.01198241,0.006754747,453.08116,2588
BOS,PHF,3.8e-07,0.199528912,0.01023422,-0.053342305,0.034542542,0.017536432,0.001263331,85.25909,487
BOS,PBI,8.01e-13,-0.017776704,0.016365755,0.05083101,0.023366289,-0.100572561,0.026375262,213.93554,1222
BOS,PDX,12805189692.0,-0.11452361,-0.009093236,0.058419045,-0.016345436,-0.048773884,0.006700275,444.15259,2537
BOS,PHL,477.7166334,0.171087506,9.51e-05,0.017638707,0.040678159,-0.041997796,-0.01631907,50.59523,289
BOS,RDU,0.502320834,0.080559051,0.00316499,-0.027878527,0.047484452,-0.023308328,0.003702402,109.41875,625
BOS,RIC,828529.2476,0.112741747,-0.00393144,-0.033680038,0.038634031,-0.000192971,-0.004761022,85.25909,487
BOS,SLC,0.352768068,0.001265121,0.003359031,0.036764536,-0.017422564,-0.020491794,0.001149822,368.52235,2105
LAS,PHX,9.62e-20,-0.036071595,0.024016578,0.005325147,0.005158578,-0.016072234,0.005588509,48.31932,276
LAS,BWI,1.08e-12,0.076742918,0.016586614,-0.010298632,0.021251065,-0.005075019,-0.005877414,368.69742,2106
LAS,DCA,9.45e-11,0.051951121,0.014380601,0.014269774,0.012778876,-0.025987949,-0.0010607,368.69742,2106
LAS,IAD,7.26e-09,0.151739943,0.012570416,0.019253565,0.015601702,-0.041274524,0.006419257,368.69742,2106
LAS,EWR,1.26e-09,-0.014585693,0.012879594,0.024354529,0.028299941,-0.046199363,-0.006455108,399.50974,2282
LAS,HPN,5.88e-07,0.085525359,0.010056433,0.001921413,0.026983351,-0.043856084,0.01495132,399.50974,2282
LAS,ISP,1.18e-08,0.07466643,0.011877841,-0.046957476,0.01477054,0.021380123,0.010806814,399.50974,2282
LAS,JFK,2.52e-20,0.009110204,0.025201207,0.013234433,0.013862779,-0.009295295,-0.017801917,399.50974,2282
LAS,LGA,5.02e-06,-0.043840518,0.008663025,0.042358756,-0.012983869,-0.065726046,0.03635116,399.50974,2282
LAS,SWF,1.91e-10,-0.045657432,0.013811751,-0.007923408,0.00065272,-0.018891575,0.026162263,399.50974,2282
LAS,OAK,4.35e-14,-0.062371123,0.017434228,-0.003405461,0.011519595,-0.007272467,-0.000841666,72.47898,414
LAS,SFO,3.79e-13,-0.003558078,0.016598043,0.005533165,-0.00115356,-0.012293185,0.00791358,72.47898,414
LAS,SJC,1.31e-17,0.007523785,0.0217445,0.004095337,0.003176405,-0.01952203,0.012250288,72.47898,414
LAS,FLL,0.010908697,0.015615525,0.004897984,0.034276212,0.002842095,-0.046850272,0.009731965,380.60218,2174
LAS,MIA,1.06e-12,0.157831284,0.016930146,0.026294636,0.001306934,-0.041131267,0.013529697,380.60218,2174
LAS,BUR,3.69e-25,-0.072762824,0.030067599,-0.009057625,0.007765494,-0.004261233,0.005553364,41.31652,236
LAS,LGB,6.35e-11,-0.004337663,0.013901628,-0.015632979,0.008493902,0.006971654,0.000167422,41.31652,236
LAS,ONT,4.05e-22,0.040409735,0.026960247,-0.017307918,-0.00173008,0.009048227,0.00998977,41.31652,236
LAS,SNA,2.33e-18,0.047632605,0.022736566,0.002550894,0.001040231,-0.00483918,0.001248055,41.31652,236
LAS,TPA,1.64e-13,0.03866584,0.017385385,0.018463236,0.007857405,-0.033471465,0.007150824,347.33888,1984
LAS,ORF,7.68e-22,0.019299747,0.02692454,-0.023538414,0.040299254,-0.002536057,-0.014224782,377.10078,2154
LAS,PHF,3.57e-23,0.031713132,0.028494943,-0.026296927,0.042630131,-0.008438698,-0.007894506,377.10078,2154
LAX,PIT,10352.48725,0.183524132,-0.001298436,-0.024704572,0.01463209,-0.002652446,0.012724928,373.94952,2136
LAX,TUS,4.24e-24,0.072382165,0.029376525,0.016546464,-0.015511049,-0.026874062,0.025838647,79.30671,453
LAX,PHX,2.15e-25,-0.124207308,0.030141612,-0.000614107,-0.015871114,0.005965922,0.010519299,64.77590000000001,370
LAX,SEA,2.8e-07,0.078123144,0.010316129,-0.014776593,0.001842318,0.005764772,0.007169503,171.21846,978
LAX,BNA,0.000103388,-0.062645839,0.007064317,0.017104177,-0.000330431,-0.007093669,-0.009680078,314.60079,1797
LAX,BWI,107.8265981,0.03163784,0.000491024,-0.019147169,0.019546374,-0.00075306,0.000353855,407.73803,2329
LAX,DCA,2942928.255,-0.29111469,-0.005568963,0.034363352,-0.028429436,-0.023825585,0.017891669,407.73803,2329
LAX,IAD,305713628.9,-0.027903935,-0.006962458,0.01626265,-0.004568256,-0.013911837,0.002217443,407.73803,2329
LAX,STL,0.004282465,0.03224784,0.005530018,0.010929963,-0.00904412,-0.009192326,0.007306483,278.71144,1592
LAX,MCO,5.981437611,0.081663036,0.002123593,0.020573869,0.018295091,-0.045586305,0.006717345,388.30526,2218
LAX,MSP,578.2086847,0.028066813,-0.00038673,0.043067806,-0.013550055,-0.025329081,-0.00418867,268.73245000000003,1535
LAX,EWR,6.47e-05,-0.016548377,0.007588976,0.0188419,0.009454338,-0.018446034,-0.009850204,439.4257,2510
LAX,HPN,8124820000000000.0,0.086594539,-0.01521645,-0.035475193,0.035808054,-0.00559942,0.005266559,439.4257,2510
LAX,ISP,5137952994.0,0.247278812,-0.007998467,-0.104133083,0.041592958,0.095602374,-0.033062249,439.4257,2510
LAX,JFK,0.007506699,-0.040982746,0.005209482,-0.005161127,0.014723717,-0.005463144,-0.004099446,439.4257,2510
LAX,LGA,7099818.997,-0.025063567,-0.00509483,0.02487395,0.01684475,-0.048600659,0.006881959,439.4257,2510
LAX,SWF,0.067964909,0.011577172,0.00414937,-0.042565281,0.002433192,0.02601896,0.014113129,439.4257,2510
LAX,OAK,5.0000000000000005e-22,-0.063270728,0.02649172,1.7e-06,0.006189588,-0.006180488,-1.08e-05,65.12604,372
LAX,SFO,5.06e-09,0.078731728,0.012207581,-0.001833117,0.023578321,-0.009122369,-0.012622835,65.12604,372
LAX,SJC,4.02e-17,-0.042163623,0.020966784,0.007706155,0.000341159,-0.015580474,0.007533161,65.12604,372
LAX,FLL,1.05e-10,0.120749356,0.014538686,0.030352087,-0.004096349,-0.055683502,0.029427763,410.18901,2343
LAX,MIA,0.216658134,-0.009111246,0.003559281,0.049517023,-0.009330887,-0.0525016,0.012315464,410.18901,2343
LAX,SDF,1.9e-11,0.265887987,0.015689845,-0.0530896,0.068783444,-0.002717867,-0.012975977,322.65401,1843
LAX,SMF,4.54e-20,0.021702125,0.024591275,0.002938625,0.008081624,-0.012172536,0.001152287,70.72828,404
LAX,TPA,3.2e-12,0.148724042,0.016386709,0.020978854,-0.004075162,-0.038816366,0.021912674,377.80106,2158
LAX,SAT,1.55e-12,0.035191767,0.016266025,0.011662164,0.004664216,-0.014466513,-0.001859867,212.00977,1211
LAX,MKE,2.78e-05,0.132384062,0.008273625,-0.011479109,-0.002867785,0.002537791,0.011809102,307.42292000000003,1756
LAX,MSY,5.32e-07,0.093399415,0.010184841,0.025102403,0.036378703,-0.052833267,-0.008647838,292.3669,1670
LAX,ORF,3.84e-10,0.311983717,0.014390595,-0.084718209,0.035335688,0.036768954,0.012613567,415.09097,2371
LAX,PHF,3.33e-07,0.130939686,0.010444815,-0.029404647,0.022643238,-0.001644515,0.008405924,415.09097,2371
LAX,OKC,6.67e-18,-0.049745941,0.022231946,0.019401398,-0.004838589,-0.01129819,-0.003264619,207.80809,1187
LAX,PBI,0.001131837,0.004623721,0.006142823,0.093575571,-0.038953948,-0.078866236,0.024244613,407.9131,2330
LAX,PDX,2.33e-11,0.219538368,0.015472052,-0.030430854,-0.00739612,0.015245461,0.022581513,150.38513,859
LAX,PHL,3.005081672,0.163989535,0.002850099,-0.019298373,0.00460576,0.011962816,0.002729796,420.51814,2402
LAX,STS,1.46e-22,0.016971441,0.027460181,-0.034200396,0.004598274,0.016397481,0.01320464,75.80531,433
LAX,RDU,2.99e-11,0.190487652,0.01538799,-0.018652015,0.0164709,-0.007307474,0.009488589,391.98173,2239
LAX,RIC,158.7793124,0.004837124,0.000303193,0.005097885,0.014775538,-0.026703255,0.006829832,403.53635,2305
LAX,RNO,1.88e-19,-0.032600183,0.023736264,0.008599945,-0.025875624,0.012838022,0.004437658,72.65405,415
LAX,SLC,1.25e-17,0.173120778,0.022405064,0.074255217,-0.045553648,-0.034400348,0.00569878,103.2913,590
LAX,SAV,1.37e-284,0.241690745,0.326797775,-0.199113024,0.060305265,0.017570746,0.121237013,376.75064,2152
LAX,SYR,1.34e-06,0.021760839,0.009611802,0.217180559,-0.122866857,-0.012608367,-0.081705335,411.58957,2351
AUS,CAK,6.85e-11,-0.155266613,0.01413634,-0.036814787,0.078410323,0.015790252,-0.057385788,205.53218,1174
AUS,CLE,2.2900000000000006e-58,-0.147579098,0.068027824,0.055025235,-0.040736256,-0.052937428,0.038648449,205.53218,1174
AUS,CMH,7.060000000000001e-36,0.112702386,0.043027249,-0.02322621,0.066365121,-0.065571241,0.02243233,187.85011,1073
AUS,HOU,8.099999999999999e-23,0.237872016,0.028383119,-0.000201961,0.02368749,0.002528277,-0.026013806,25.91036,148
AUS,IAH,7.72e-35,0.169784501,0.041961606,-0.005781511,0.015533188,-0.011264651,0.001512974,25.91036,148
